13	529	539
5	532	542
7	538	562
35	539	549
31	540	550
19	541	551
6	545	559
15	547	567
22	551	561
31	556	566
12	557	570
20	561	571
14	560	570
19	561	571
9	563	579
2	564	574
25	563	573
34	564	576
3	566	577
26	565	575
31	567	577
40	566	576
38	566	576
5	568	578
4	570	580
22	570	588
12	571	581
37	572	582
6	571	581
11	575	586
23	576	590
36	576	586
26	583	593
41	581	591
35	581	591
29	582	594
2	582	595
28	587	602
19	587	597
16	590	600
22	593	603
34	605	615
15	605	615
14	606	616
16	606	616
18	609	619
32	609	619
7	608	618
